year,standard_week,pest_count,collection_type,temp_max,temp_min,rh_morning,rh_evening,rainfall,wind_speed,sunshine_hours,evaporation,pest_name,location,crop,Pest/Disease,temp_mean,diurnal_temp_range,gdd,rh_mean,rh_differential,high_humidity_persistence,vpd_kpa,week_sin,week_cos,temp_mean_lag1,temp_mean_lag2,rh_mean_lag1,rh_mean_lag2,rainfall_lag1,rainfall_lag2,gdd_lag1,gdd_lag2,pest_count_lag1,pest_count_lag2,outbreak_current,risk_category,outbreak_next_week
2003,1,0.0,Number/hill,27.9,14.8,94.7,51.3,0.0,3.1,8.7,2.7,Brown Planthopper,Cuttack,Rice,Unknown,21.35,13.1,9.35,73.0,43.4,0,0.686,0.1205,0.9927,21.35,21.35,73.0,73.0,0.0,0.0,9.35,9.35,0.0,0.0,0,0,0
2003,2,0.0,Number/hill,27.2,15.0,93.9,53.1,0.0,2.1,8.7,2.4,Brown Planthopper,Cuttack,Rice,Unknown,21.1,12.2,9.1,73.5,40.8,0,0.663,0.2393,0.9709,21.35,21.1,73.0,73.5,0.0,0.0,9.35,9.1,0.0,0.0,0,0,0
2003,3,0.0,Number/hill,28.7,18.3,94.1,56.7,0.6,4.8,6.7,2.8,Brown Planthopper,Cuttack,Rice,Unknown,23.5,10.4,11.5,75.4,37.4,0,0.712,0.3546,0.935,21.1,21.35,73.5,73.0,0.0,0.0,9.1,9.35,0.0,0.0,0,0,0
2003,4,0.0,Number/hill,25.3,16.4,90.9,57.4,0.3,6.5,5.3,3.0,Brown Planthopper,Cuttack,Rice,Unknown,20.85,8.9,8.85,74.15,33.5,0,0.637,0.4647,0.8855,23.5,21.1,75.4,73.5,0.6,0.0,11.5,9.1,0.0,0.0,0,0,0
2003,5,0.0,Number/hill,28.8,18.7,95.7,55.0,0.0,5.2,6.3,2.8,Brown Planthopper,Cuttack,Rice,Unknown,23.75,10.1,11.75,75.35,40.7,0,0.725,0.5681,0.823,20.85,23.5,74.15,75.4,0.3,0.6,8.85,11.5,0.0,0.0,0,0,0
2003,6,0.0,Number/hill,27.1,17.2,94.9,53.3,4.4,3.5,6.9,2.9,Brown Planthopper,Cuttack,Rice,Unknown,22.15,9.9,10.15,74.1,41.6,0,0.691,0.6631,0.7485,23.75,20.85,75.35,74.15,0.0,0.3,11.75,8.85,0.0,0.0,0,0,0
2003,7,0.0,Number/hill,30.7,16.0,93.9,33.0,0.0,2.6,10.2,4.0,Brown Planthopper,Cuttack,Rice,Unknown,23.35,14.7,11.35,63.45,60.9,0,1.049,0.7485,0.6631,22.15,23.75,74.1,75.35,4.4,0.0,10.15,11.75,0.0,0.0,0,0,0
2003,8,0.0,Number/hill,30.4,21.4,95.3,56.9,15.4,5.1,6.4,3.4,Brown Planthopper,Cuttack,Rice,Unknown,25.9,9.0,13.9,76.1,38.4,0,0.799,0.823,0.5681,23.35,22.15,63.45,74.1,0.0,4.4,11.35,10.15,0.0,0.0,0,0,0
2003,9,0.0,Number/hill,31.1,22.3,92.6,56.7,17.5,6.0,6.5,4.2,Brown Planthopper,Cuttack,Rice,Unknown,26.7,8.8,14.7,74.65,35.9,0,0.888,0.8855,0.4647,25.9,23.35,76.1,63.45,15.4,0.0,13.9,11.35,0.0,0.0,0,0,0
2003,10,0.0,Number/hill,31.1,21.5,95.3,54.7,0.0,3.5,7.5,4.2,Brown Planthopper,Cuttack,Rice,Unknown,26.3,9.6,14.3,75.0,40.6,0,0.855,0.935,0.3546,26.7,25.9,74.65,76.1,17.5,15.4,14.7,13.9,0.0,0.0,0,0,0
